id,name,lat,lng,category,country,city,sources,url,tags
6331,Mons en transition,50.454217,3.95669,ecovillage,BE,Mons,Murmurations,facebook.com/profile.php?id=100008242908995&fref=ts,Transition Group
6332,Transition Hong Kong,22.350627,114.1849161,ecovillage,HK,Hong Kong,Murmurations,facebook.com/transitionhongkong,Transition Group
6333,Worcester,52.192035,-2.223532,ecovillage,,Worcester,Murmurations,facebook.com/transitionworcester?locale=en_GB,Transition Group
6334,Lüneburg im Wandel // Transition Lüneburg,53.2513551,10.4139473,ecovillage,DE,Lüneburg,Murmurations,facebook.de/lueneburgimwandel,Transition Group
6335,Valls en transició,41.2835355,1.2473637,ecovillage,ES,Valls,Murmurations,fb.me/vallsentransicio,Transition Group
6336,Ferrara Città di Transizione,44.842288,11.621698,ecovillage,IT,Ferrara,Murmurations,ferraraintransizione.wordpress.com,Transition Group
6337,Footprints: Building a Transition Community,54.565158,-6.024228,ecovillage,GB,Belfast,Murmurations,footprintswomenscentre.org,Transition Group
6338,Grenoble en Transition,45.192292,5.71609,ecovillage,FR,Grenoble,Murmurations,fr.wiserearth.org/group/grenobleentransition,Transition Group
6339,Frocal CBS,51.098259,0.0333979,ecovillage,,Forest Row,Murmurations,frocal.community,Transition Group
6340,Susedstvo Gessayova,48.1214364,17.1156435,ecovillage,SK,Bratislava,Murmurations,gessayova.wordpress.com,Transition Group
6341,Giffre en Transition,46.1099534,6.592049,ecovillage,FR,Taninges,Murmurations,giffre-en-transition.fr,Transition Group
6342,Oklahoma City,35.524086,-97.52574,ecovillage,US,Oklahoma City,Murmurations,goinglocalokc.com,Transition Group
6343,Santa Barbara,34.420117,-119.702061,ecovillage,US,Santa Barbara,Murmurations,groups.google.com/group/transition-sb?lnk=srg,Transition Group
6344,Transition Tompkins,42.443961,-76.501881,ecovillage,US,Ithaca,Murmurations,groups.google.com/group/transition-tompkins?hl=en,Transition Group|co-op|currency|marketplace|platform co-op
6345,Grow Lewisham,51.4281,-0.00495,ecovillage,,London,Murmurations,growlewisham.com,Transition Group
6346,Grass Valley Friends Meeting,39.267481,-121.09972,ecovillage,US,Nevada City,Murmurations,gvfriends.org,Transition Group
6347,Welcome to Tufillo,41.9164633,14.6260061,ecovillage,IT,Tufillo,Murmurations,help-nonprofit.org,Transition Group
6348,Greener Henley,51.527007,-0.942036,ecovillage,,,Murmurations,henley-in-transition.org.uk/index.htm,Transition Group
6349,Herefordshire Green Network (HGN),52.0554461,-2.7165413,ecovillage,,,Murmurations,hgnetwork.org,Transition Group
6350,Ibiza Transition Island,38.917749,1.308369,ecovillage,ES,,Murmurations,ibiza-transition-island.com,Transition Group
6351,Intergen de Pully (CloudReady.ch),46.5178344,6.6558099,ecovillage,CH,PUlly,Murmurations,intergen.ch,Transition Group
